FECHA,LOTE  ,DENOMINACIÓN/     MARCA,CANTIDAD,%H,%H C/NC,# MALLAS,MALLAS C/NC,VERIFICACIÓN FISICA CAFÉ TOSTADO C/NC,NOTAS DE CATACIÓN,PUNTAJE,PUNTAJE  C/NC,LIBERACIÓN DE LOTE,RESPONSABLE 
19-07-22,01-190722,Madre Laura ,765,10.9,C ,14,C ,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C ,Si ,LFQ
19-7-22,09-190722,Tabi Natural ,204,10.2,C,14,C,C,"Frutas maduras, nibs de cacao, acidez brillante, cuerpo cremoso y final frutal ",85,C,Si ,LFQ 
19-07-22,10-190722,Don Mario ,165,10.7,C,14,C,C,"Panela, durazno, miel, acidez brillante citrica, cuerpo sedoso y final limpio y prolongado",84.5,C,Si ,LFQ 
27-07-22,07-19-07-22,Don Felix ,0.45,10.5,C,14,C,C,"Moras maduras, chocolate negro, acidez media citrica como naranja, cuerpo cremoso, balanaceado y final limpio.",84.5,C,Si ,LFQ
31-10-22,01-291022,Madre Laura ,105,10.7,C,14,C,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C ,Si ,LFQ
2/11/2022,01-291022,Madre Laura ,105,10.7,C,14,C,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C ,Si ,LFQ
11/11/2022,01-101122,Madre Laura ,210,10.7,C,14,C,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C ,Si ,LFQ
4/12/2022,08-241122,Gesha Villabernarda,12,10.3,C,14,C,C,"Jazmin, mandarina, acidez jugosa, cuerpo sedoso y final frutal ",86,C ,Si ,LFQ
4/12/2022,02-241122,Madre Laura Natural,19.4,10.5,C,14,C,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,C ,Si ,LFQ
4/12/2022,05-241122,Doña Dolly,35,10.8,C,14,C,C,"Panela, fresa, acidez brillante, cuerpo cremoso, naranja, final prolongado",85,C ,Si ,LFQ
30-12-22,01-291222,Madre Laura ,70,10.7,C,14,C,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C,Si ,LFQ 
17-01-23,01-130123,Madre Laura ,585,11.2,C,14,C,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C,Si ,LFQ 
8/2/2023,03-010223,Madre Laura Descafeinado,210,10.5,C,14,C,C,"Chocolate dulce, limon, acidez jugosa citrica, cuerpo sedoso, final prolongado a un toque frutal ",84.5,C,Si,LFQ
8/2/2023,01-010223,Madre Laura ,140,11.2,C,14,C,C,"Chocolate negro, toque frutal, cuerpo medio, acidez jugosa citrica, final dulce prolongado",84,C,Si,LFQ
8/2/2023,02-010223,Madre Laura Natural,101,10.8,C,14,C,C,"Cacao, frutos rojos, cuerpo cremoso, acidez brillante, final frutal",85,C,Si,LFQ
8/2/2023,05-010223,Doña Dolly,70,10.5,C,14,C,C,"Frambuesa, miel, acidez brillante citrica como mandarina, cuerpo cremoso medio y final frutal prolongado. 
",85,C,Si,LFQ
8/2/2023,07-010223,Don Felix ,49,10.6,C,14,C,C,"Moras maduras, chocolate negro, acidez media citrica como naranja, cuerpo cremoso, balanaceado y final limpio.",85,C,Si,LFQ
