Fecha ,Lote ,Origen,Variedad,Proceso,Beneficio ,Peso en Verde,Merma ,Peso en Tostado ,Perfil ,Temp. De inicio y final,Tiempo de tueste,Observaciones ,Tostador
10/08/2022,1-190722,Jerico ,Colombia ,Tradicional ,Lavado ,3,15.0,2.55,Filtrado,180°-190°,9:58,,AC
10/08/2022,1-190722,Jerico ,Colombia ,Tradicional ,Lavado ,3,15.0,2.55,Filtrado,180°-181°,8:32,,AC
20-09-2022,01-300822,Jerico ,Colombia ,Tradicional ,Lavado ,3,15.0,2.55,Filtrado,180°-190°,9:58,,AC
13-10-2022,01-131022,Jerico ,Colombia ,Tradicional ,Lavado ,93,16.7,77.5,Espresso,180°-195°,11:40,Epoca ,AC
18-10-2022,01-181022,Jerico ,Colombia ,Tradicional ,Lavado ,42,14.3,36,Filtrado,180°-192°,10.15,,LFQ
18-10-2022,05-181022,Jerico ,Colombia ,Tradicional ,Lavado ,43,16.3,36,Filtrado,180°-191°,9.50,,LFQ
18-11-22,01-181122,Jerico ,Colombia ,Tradicional ,Lavado ,13.2,14.4,11.3,Filtrado,180°-192°,9:10,,AC
18-11-22,06-181122,Jerico ,Colombia ,Tradicional ,Lavado ,13.2,14.4,11.3,Filtrado,180°-191°,9:05,,AC
21-11-22,01-211122,Jerico ,Colombia ,Tradicional ,Lavado ,37.8,17.5,31.2,Filtrado,180°-192°,9:25,,AC
28-11-22,01-281122,Jerico ,Colombia ,Tradicional ,Lavado ,86,18.6,70,Espresso,180° - 195° ,10:12,Epoca ,LFQ
28-11-22,01-281122,Jerico ,Colombia ,Tradicional ,Lavado ,48,16.7,40,Filtrado,180° - 192° ,9:52,Epoca ,LFQ
29-11-22,01-281122,Jerico ,Colombia ,Tradicional ,Lavado ,24,16.7,20,Filtrado,180° - 191° ,9:58,,LFQ
16-12-22,01-161222,Jerico ,Colombia ,Tradicional ,Lavado ,98,18.4,80,Espresso,180° - 196° ,10:12,Epoca ,LFQ
16-12-22,01-161222,Jerico ,Colombia ,Tradicional ,Lavado ,60,16.7,50,Filtrado,180° - 191° ,9:52,Epoca ,LFQ
16-12-22,01-161222,Jerico ,Colombia ,Tradicional ,Lavado ,12,16.7,10,Espresso,180° - 196° ,10:12,Raul ,LFQ
11-01-23,01-110123,Jerico ,Colombia ,Tradicional ,Lavado ,8,18.8,6.5,Filtrado,180° - 191° ,9:02,,AC
24-01-23,01-240123,Jerico ,Colombia ,Tradicional ,Lavado ,32.2,16.1,27,Filtrado,180° - 191° ,8:55,,AC
06-02-23,01-030223,Jerico ,Colombia ,Tradicional ,Lavado ,37.55,16.6,31.3,Espresso,180° - 195° ,9:27,Epoca,AC
16-02-23,01-160223,Jerico ,Colombia ,Tradicional ,Lavado ,72,16.7,60,Espresso,180° - 195° ,10:05,Epoca,AC
28-03-23,01-280323,Jerico ,Colombia ,Tradicional ,Lavado ,48,15.3,40.65,Filtrado,180°-190°,8.40,MEDELLIN,AC
29-03-23,01-290323,Jerico ,Colombia ,Tradicional ,Lavado ,50,17.0,41.5,Espresso,180° - 195° ,9:25,Primo Dani,AC
10-04-23,01-100423,Jerico ,Colombia ,Tradicional ,Lavado ,84,16.7,70,Filtrado,180°-191°,8:43,Epoca,AC
24-04-23,01-240423,Jerico ,Colombia ,Tradicional ,Lavado ,77.6,20.1,62,Filtrado,180°-191°,8:25,Epoca,AC
04-05-2023,01-040523,Jerico ,Colombia ,Tradicional ,Lavado ,31.6,17.1,26.2,Filtrado,180°-190°,8:44,Jericó,AC
15-06-2023,01-150623,Jerico ,Colombia ,Tradicional ,Lavado ,8.5,5.9,8,Filtrado,180°-190°,8.45,Jericó,A C
27-10-2023,01-271023,Jerico ,Colombia ,Tradicional ,Lavado ,15.6,15.7,13.15,Filtrado,180°-190°,9.36,Jericó,AC
10-01-2024,01-100124,Jerico ,Colombia ,Tradicional ,Lavado ,15,13.3,13,Filtrado,180°-190°,9.32,Jericó,AC
02-04-2024,01-020424,Jerico ,Colombia ,Tradicional ,Lavado ,14.5,16.6,12.1,Filtrado,180°-190°,9.36,Jericó,AC
20-06-2024,01-200624,Jerico ,Colombia ,Tradicional ,lavado ,10.7,13.6,9.25,Filtrado,180°-190°,9.28,Jericó,AC
18-07-2024,01-180724,Jerico ,Colombia ,Tradicional ,lavado ,15.65,15.7,13.2,Filtrado,180°-190°,9.30,Jericó,AC
22-07-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,9,15,7.65,Filtrado ,175°/191°,8:01,,LFQ
25-07-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Espressso,175°/195°,8:42,,LFQ
25-07-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,9,16.44,7.52,Filtrado ,175°/190°,7:58,,LFQ
28-07-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,11.7,16.32,9.79,Filtrado ,175°/191°,8:02,,LFQ
28-07-22,09-190722,Ciudad Bolivar ,Tabi ,Natural ,Natural ,0.45,24.44,0.34,Filtrado ,150°/186°,8:10,,LFQ
28-07-22,07-190722,Jerico,Dos mil ,Tradicional,Lavado ,0.45,24.44,0.34,Filtrado ,150°/184°,8:04,,LFQ
31-07-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,29,15.34,24.55,Filtrado ,175°/192° ,8:02,,LFQ
31-07-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,3,16.33,2.51,Espressso,175°/196°,8:46,,LFQ
02-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Espressso,175°/195°,8:39,,LFQ
06-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,12,15.83,10.1,Filtrado ,175°/191°,8:03,,LFQ
08-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,84,16.67,70,Espressso,175°/196° ,8:45,,LFQ
08-08-22,09-190722,Ciudad Bolivar ,Tabi ,Natural ,Natural ,12,16.67,10,Filtrado ,175°/192° ,8:01,,LFQ
08-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,42,16.67,35,Filtrado ,175°/193°,8:08,,LFQ
12-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,29.1,16.29,24.36,Filtrado ,175°/192°,8:01,,LFQ
16-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Espressso,175°/196°,8:41,,LFQ
17-08-22,10-190722,Jerico,Caturra,Tradicional,Lavado ,24,16.67,20,Filtrado ,175°/192°,8:05,,LFQ
18-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,6,16.67,5,Espressso,175°/196°,8:42,,LFQ
18-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,36,15.28,30.5,Filtrado ,175°/192,8:05,,LFQ
22-08-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Espressso,175°/195°,8:52,,LFQ
29-8-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,86,18.60,70,Espressso,175°/195°,8:51,,LFQ
29-8-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,30,16.67,25,Filtrado ,175°/192° ,7:57,,LFQ
29-8-22,09-190722,Ciudad Bolivar ,Tabi ,Natural ,Natural ,6,16.67,5,Filtrado ,175°/191° ,7:48,,LFQ
30-8-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,15,16.67,12.5,Filtrado ,175°/192°,7:58,,LFQ
31-8-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,6,17.00,4.98,Espressso,175°/195°,8:42,,LFQ
2-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,27.8,16.55,23.2,Filtrado ,175°/192°,8:05,,LFQ
6-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,18,15.56,15.2,Filtrado ,175°/191°,8:06,,LFQ
13-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,23.7,16.12,19.88,Filtrado ,175°/192° ,8:07,,LFQ
16-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,25.5,18.27,20.84,Filtrado ,175°/192° ,8:01,,LFQ
16-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,9.5,21.05,7.5,Espressso,175°/195,8:39,,LFQ
26-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,86,18.60,70,Espressso,175°/196,8:38,,LFQ
26-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,30,16.67,25,Filtrado ,175°/193°,8:12,,LFQ
26-9-22,10-190722,Jerico,Dos mil ,Tradicional,Lavado ,30,17.33,24.8,Filtrado ,175°/191°,8:10,,LFQ
26-9-22,09-190722,Ciudad Bolivar ,Tabi ,Natural ,Natural ,6,16.67,5,Filtrado ,175°/192°,8:02,,LFQ
29-9-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,3,16.67,2.5,Filtrado ,175°/194°,8:04,,LFQ
29-9-22,10-190722,Jerico,Dos mil ,Tradicional,Lavado ,9,16.56,7.51,Filtrado ,175°/192°,8:05,,LFQ
03-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,24,16.67,20,Filtrado ,175°/191°,8:00,,LFQ
03-10-22,10-190722,Jerico,Dos mil ,Tradicional,Lavado ,12,16.67,10,Filtrado ,175°/192°,8:02,,LFQ
5-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,12,16.67,10,Filtrado ,175°/192°,8:06,,LFQ
5-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,9.6,21.88,7.5,Espressso,175°/196°,8:51,,LFQ
13-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,32,18.75,26,Filtrado ,175°/192,8:01,,LFQ
13-10-22,09-190722,Ciudad Bolivar ,Tabi ,Natural ,Natural ,18,16.67,15,Filtrado ,175°/191°,8:16,,LFQ
13-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,42,16.67,35,Filtrado ,175°192°,8:15,,LFQ
13-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,3.2,21.88,2.5,Espressso,175°/196°,9:01,,LFQ
15-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,12,16.67,10,Filtrado ,175°/192°,8:02,,LFQ
24-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,15,16.67,12.5,Filtrado ,175°/191°,8:02,,LFQ
27-10-22,01-190722,Jerico,Dos mil ,Tradicional,Lavado ,33,16.67,27.5,Filtrado ,175°/192°,8:10,,LFQ
2-11-22,01-291022,Jerico,Dos mil ,Tradicional,Lavado ,24,16.67,20,Filtrado ,175°/192°,8:01,,LFQ
8-11-22,09-190722,Ciudad Bolivar ,Tabi ,Natural ,Natural ,30,16.67,25,Filtrado ,175°/191°,8:16,,LFQ
